,H-Index,Country,Institution
Gudmar Thorleifsson,97,Iceland,deCode Genetics
Cristen J Willer,43,U.S.,University of Michigan
Christian Gieger,86,Germany,Helmholtz Zentrum München
Timothy M Frayling,78,U.K,University of Exeter
Sekar Kathiresan,86,U.S.,University of Harvard
Eleftheria Zeggini,51,U.K,University of Leicester
Nilesh J Samani,88,U.K,University of Leicester
Jeffrey C Barrett,145,U.K,Sanger Institute
Fernando Rivadeneira,86,Netherlands,University Medical Centre Rotterdam
John C Chambers,69,U.K,Imperial College London
David J Hunter,95,U.S.,University of Harvard
Robert J Klein,40,U.S.,Icahn School of Medicine
Daniel I Chasman,69,U.S.,University of Harvard
Paul M Ridker,161,U.S.,University of Harvard
Elizabeth K Speliotes,32,U.S.,University of Michigan
Kari Stefansson,137,Iceland,deCode Genetics
Unnur Thorsteinsdottir,108,Iceland,deCode Genetics
H-Erich Wichmann,100,Germany, Helmholtz Center Munich
Albert Hofman,190,U.S.,University of Harvard
Cornelia M van Duijn,117,Netherlands,University Medical Centre Rotterdam
Panos Deloukas,131,U.K.,Queen Mary University of London
Mark I McCarthy,122,U.K.,University of Oxford
Nicholas G Martin,88,Australia,QIMR Berghofer
Grant W Montgomery,81,Australia,University of Queensland
Jerome I Rotter,80,U.S.,UCLA
André G Uitterlinden,113,Netherlands,Erasmus MC
Nicholas J Wareham,96,U.K,University of Cambridge
