,Country,Institution
Gudmar Thorleifsson,Iceland,deCode Genetics
Cristen J Willer,U.S.,University of Michigan
Christian Gieger,Germany,Helmholtz Zentrum München
Timothy M Frayling,U.K,University of Exeter
Sekar Kathiresan,U.S.,University of Harvard
Eleftheria Zeggini,U.K,University of Leicester
Nilesh J Samani,U.K,University of Leicester
Jeffrey C Barrett,U.K,Sanger Institute
Fernando Rivadeneira,Netherlands,University Medical Centre Rotterdam
John C Chambers,U.K,Imperial College London
David J Hunter,U.S.,University of Harvard
Robert J Klein,U.S.,Icahn School of Medicine
Daniel I Chasman,U.S.,University of Harvard
Paul M Ridker,U.S.,University of Harvard
Elizabeth K Speliotes,U.S.,University of Michigan
Kari Stefansson,Iceland,deCode Genetics
Unnur Thorsteinsdottir,Iceland,deCode Genetics
H-Erich Wichmann,Germany, Helmholtz Center Munich
Albert Hofman,U.S.,University of Harvard
Cornelia M van Duijn,Netherlands,University Medical Centre Rotterdam
Panos Deloukas,U.K.,Queen Mary University of London
Mark I McCarthy,U.K.,University of Oxford
Nicholas G Martin,Australia,QIMR Berghofer
Grant W Montgomery,Australia,University of Queensland
Jerome I Rotter,U.S.,UCLA
André G Uitterlinden,Netherlands,Erasmus MC
Nicholas J Wareham,U.K,University of Cambridge
