,PUBMEDID,COLLECTIVE,Clean_Name
341,26284813,reproductive medicine network,
621,26414677,aocs investigators,
715,28813576,international age-related macular degeneration genomics consortium (iamdgc),
781,29273806,australian asthma genetics consortium (aagc) collaborators,
846,29288229,epigen consortium;,
847,29288229,canadian pharmacogenomics network for drug safety;,
848,29288229,epipgx consortium;,
849,29288229,international league against epilepsy consortium on complex epilepsies;,
935,29187748,mid-atlantic mirecc workgroup,
1044,29168253,nhlbi reds-iii study investigators,
1053,23266556,colon cancer family registry and the genetics and epidemiology of colorectal cancer consortium,
1273,29217827,mgs collaboration,
1323,27680694,charge consortium hematology working group,
