,Papers,citedByCount,GWAS-H,Betweenness,Degree,Country,Institution
Kari Stefansson,165,24434,81.0,0.02152346710488429,0.3109096226966949,Iceland,deCode Genetics
Unnur Thorsteinsdottir,132,21063,74.0,0.006670180729391637,0.24590523544896167,Iceland,deCode Genetics
Andre G Uitterlinden,257,19893,72.0,0.017324546683945095,0.3530272009359462,Netherlands,Erasmus MC
Albert Hofman,255,21988,72.0,0.01362943048513295,0.34205908160280785,U.S.,University of Harvard
Cornelia M van Duijn,175,17795,67.0,0.007956705156796648,0.28370868675051186,Netherlands,UMC Rotterdam
Christian Gieger,155,19353,66.0,0.01186700723435042,0.2743492249195671,Germany,Helmholtz-Muenchen
H-Erich Wichmann,109,18395,66.0,0.008873516261908675,0.2325241298625329,Germany,Helmholtz-Muenchen
Gudmar Thorleifsson,112,18084,66.0,0.006513606479988645,0.23530272009359463,Iceland,deCode Genetics
Panos Deloukas,96,16812,62.0,0.0073735374747458705,0.22908745247148288,U.K.,Queen Mary UoL
Fernando Rivadeneira,184,15537,62.0,0.008053778036584594,0.2765428487861948,Netherlands,UMC Rotterdam
Mark I McCarthy,91,18402,61.0,0.0030978325566065855,0.18894413571219654,U.K.,University of Oxford
Leena Peltonen,73,15275,58.0,0.002441986360379875,0.1615238373793507,,
Eric Boerwinkle,132,15073,57.0,0.0026793702523519934,0.2083211465340743,U.S.,University of Texas
Marjo-Riitta Jarvelin,98,15153,57.0,0.002715490328643152,0.21066101199181048,U.K.,Imperial College
Jerome I Rotter,169,15660,56.0,0.01037200932410732,0.26147996490201814,U.S.,UCLA
Tamara B Harris,123,12668,55.0,0.0024585743495948702,0.23340157940918396,U.S.,N.I.H.
Bruce M Psaty,153,11218,55.0,0.004560008649272088,0.24268792044457443,U.S.,University of Washington
Nicholas G Martin,150,11578,55.0,0.009811276152705632,0.2687920444574437,Australia,QIMR Berghofer
Thomas Illig,84,14219,55.0,0.002401947073525725,0.17921906990348055,Germany,Hannover Medical School
Vilmundur Gudnason,119,12999,55.0,0.0029392672759351174,0.24276104124012868,,
Nicholas J Wareham,84,15931,55.0,0.001614926071060196,0.20429950277859021,U.K,University of Cambridge
Ruth J F Loos,86,14369,53.0,0.002572512192040212,0.20971044164960514,,
Goncalo R Abecasis,78,17131,53.0,0.0022261741456013604,0.17241883591693477,,
Grant W Montgomery,144,11798,53.0,0.008961082156367416,0.26323486399532026,Australia,University of Queensland
Thomas Meitinger,94,12936,53.0,0.00446152500269735,0.19662181924539338,,
David J Hunter,103,13414,52.0,0.009484327786610826,0.2397630886224042,U.S.,University of Harvard
Nicole Soranzo,83,12462,52.0,0.001588493507805847,0.1707370576191869,,
Augustine Kong,68,12310,52.0,0.0014635381991058999,0.12730330505995904,,
Harry Campbell,115,13789,52.0,0.003923030304116768,0.23676513600467972,,
James F Wilson,109,13032,51.0,0.00204807036137392,0.2338403041825095,,
Veikko Salomaa,83,14597,51.0,0.001894815771320881,0.20371453641415618,,
Stephen J Chanock,114,11648,51.0,0.010738668648201874,0.2257970166715414,,
Igor Rudan,104,12076,49.0,0.0019200054547369187,0.22279906405381691,,
Nilesh J Samani,71,12785,49.0,0.002357306144815972,0.1824363849078678,U.K,University of Leicester
Peter Kraft,113,11184,49.0,0.012376391050051117,0.2435653699912255,,
Caroline Hayward,117,11282,48.0,0.0027835866484292216,0.23800818952910208,,
Luigi Ferrucci,113,11443,48.0,0.005787969225066476,0.23201228429365311,,
