,Count,Rank_count,N,Rank_N,Percent of Count,Percent of N
United Kingdom,549,2,15238916.0,1,10.196879643387815,41.84067705007955
United States,2292,1,9231811.0,2,42.570579494799404,25.347289967237295
Iceland,59,13,3482621.0,3,1.0958395245170875,9.562046312797124
Japan,350,4,2032401.0,4,6.500742942050521,5.580254781721924
China,440,3,1836353.0,5,8.172362555720653,5.04197626805901
"Korea, South",226,5,730946.0,6,4.197622585438335,2.0069193587685272
Netherlands,160,7,645945.0,7,2.9717682020802374,1.7735366568799011
Finland,134,8,570202.0,8,2.488855869242199,1.5655731506958541
Germany,164,6,407208.0,9,3.0460624071322435,1.1180492378991258
Australia,98,9,290948.0,10,1.8202080237741458,0.7988403706908382
Sweden,78,12,275949.0,11,1.4487369985141159,0.7576584181770148
Italy,81,11,255145.0,12,1.5044576523031203,0.7005379874751292
Singapore,91,10,208674.0,13,1.6901931649331352,0.572945046927767
Denmark,35,17,151965.0,14,0.650074294205052,0.4172421770626821
France,78,12,132113.0,15,1.4487369985141159,0.36273560187070786
Norway,33,19,119723.0,16,0.6129271916790491,0.32871704119024436
Greece,34,18,103821.0,17,0.6315007429420505,0.28505576984716685
Pakistan,14,25,83422.0,18,0.26002971768202077,0.22904732599561126
India,31,20,56139.0,19,0.5757800891530461,0.154137851334991
Philippines,38,16,55902.0,20,0.7057949479940565,0.1534871331040572
Canada,52,14,52544.0,21,0.9658246656760773,0.14426725200922297
Bangladesh,16,24,47284.0,22,0.2971768202080238,0.12982515118765411
Mexico,21,22,46052.0,23,0.3900445765230312,0.12644251464541595
Spain,48,15,43124.0,24,0.8915304606240713,0.11840326156451224
Taiwan,14,25,39182.0,25,0.26002971768202077,0.10757992288796768
Russia,12,26,31773.0,26,0.22288261515601782,0.08723742764329022
Switzerland,21,22,29573.0,27,0.3900445765230312,0.08119700524643633
Brazil,24,21,21920.0,28,0.44576523031203563,0.06018457224501689
Israel,11,27,18995.0,29,0.20430906389301637,0.052153556103745245
Saudi Arabia,8,28,15872.0,30,0.1485884101040119,0.04357890194675675
Thailand,18,23,13448.0,31,0.3343239227340267,0.036923454724041384
Vietnam,4,31,11959.0,32,0.07429420505200594,0.03283518701998891
Poland,11,27,11899.0,33,0.20430906389301637,0.03267044822734744
Kenya,4,31,10538.0,34,0.07429420505200594,0.028933623280930108
"Gambia, The",3,32,8201.0,35,0.055720653789004454,0.022517047307544866
Lebanon,3,32,7782.0,36,0.055720653789004454,0.021366621405598606
Barbados,3,32,7370.0,37,0.055720653789004454,0.020235415029460514
Ghana,4,31,7193.0,38,0.07429420505200594,0.01974943559116818
Indonesia,6,29,7120.0,39,0.11144130757800891,0.01954900339345439
"Micronesia, Federated States of",3,32,6514.0,40,0.055720653789004454,0.017885141587775547
Belgium,5,30,6382.0,41,0.09286775631500742,0.017522716243964315
Austria,3,32,5793.0,42,0.055720653789004454,0.01590553042953389
Costa Rica,5,30,5352.0,43,0.09286775631500742,0.014694700303619088
Croatia,5,30,5335.0,44,0.09286775631500742,0.01464802431237067
Bulgaria,5,30,4332.0,45,0.09286775631500742,0.011894140828714104
Turkey,4,31,3862.0,46,0.07429420505200594,0.01060368695302259
Iran,6,29,3562.0,47,0.11144130757800891,0.009779992989815243
Samoa,1,34,3072.0,48,0.018573551263001486,0.008434626183243242
Estonia,1,34,2744.0,49,0.018573551263001486,0.0075340541168032096
Senegal,5,30,2640.0,50,0.09286775631500742,0.007248506876224661
South Africa,8,28,2608.0,51,0.1485884101040119,0.007160646186815878
Ethiopia,8,28,2331.0,52,0.1485884101040119,0.006400102094121093
New Zealand,2,33,1665.0,53,0.03714710252600297,0.004571501495800781
Malawi,2,33,1605.0,54,0.03714710252600297,0.004406762703159312
Portugal,5,30,1584.0,55,0.09286775631500742,0.004349104125734797
Nepal,4,31,1577.0,56,0.07429420505200594,0.004329884599926625
Morocco,2,33,1525.0,57,0.03714710252600297,0.004187110979637352
Seychelles,1,34,1389.0,58,0.018573551263001486,0.0038137030496500205
Malaysia,4,31,1383.0,59,0.07429420505200594,0.0037972291703858734
Mongolia,2,33,1298.0,60,0.03714710252600297,0.003563849214143792
Tanzania,1,34,1213.0,61,0.018573551263001486,0.00333046925790171
Sri Lanka,2,33,1154.0,62,0.03714710252600297,0.0031684761118042646
Nigeria,1,34,1056.0,63,0.018573551263001486,0.0028994027504898644
Belarus,1,34,1021.0,64,0.018573551263001486,0.0028033051214490074
Trinidad and Tobago,1,34,908.0,65,0.018573551263001486,0.0024930470619742395
Cyprus,1,34,875.0,66,0.018573551263001486,0.0024024407260214314
Puerto Rico,4,31,864.0,67,0.07429420505200594,0.002372238614037162
Ireland,2,33,695.0,68,0.03714710252600297,0.0019082243480970226
Yemen,1,34,589.0,69,0.018573551263001486,0.0016171858144304262
Czechia,1,34,566.0,70,0.018573551263001486,0.001554035943917863
Egypt,2,33,541.0,71,0.03714710252600297,0.0014853947803172506
Serbia,1,34,524.0,72,0.018573551263001486,0.0014387187890688342
United Arab Emirates,2,33,493.0,73,0.03714710252600297,0.001353603746204075
Qatar,1,34,338.0,74,0.018573551263001486,0.0009280285318802787
Chile,1,34,334.0,75,0.018573551263001486,0.0009170459457041807
Fiji,1,34,319.0,76,0.018573551263001486,0.0008758612475438132
Norfolk Island,1,34,285.0,77,0.018573551263001486,0.0007825092650469805
Jordan,1,34,281.0,78,0.018573551263001486,0.0007715266788708826
Tunisia,1,34,221.0,79,0.018573551263001486,0.0006067878862294129
Lithuania,1,34,94.0,80,0.018573551263001486,0.00025809077513830233
Solomon Islands,1,34,85.0,81,0.018573551263001486,0.0002333799562420819
Jamaica,1,34,79.0,82,0.018573551263001486,0.00021690607697793496
Romania,1,34,76.0,83,0.018573551263001486,0.00020866913734586147
Mozambique,2,33,70.0,84,0.03714710252600297,0.00019219525808171449
Guatemala,1,34,25.0,85,0.018573551263001486,6.864116360061233e-05
Suriname,2,33,2.0,86,0.03714710252600297,5.491293088048985e-06
