,Country,Institution
Gudmar Thorleifsson,Iceland,deCode Genetics
Cristen J Willer,U.S.,University of Michigan
Christian Gieger,Germany,Helmholtz-Muenchen
Timothy M Frayling,U.K,University of Exeter
Sekar Kathiresan,U.S.,University of Harvard
Eleftheria Zeggini,U.K,University of Leicester
Nilesh J Samani,U.K,University of Leicester
Jeffrey C Barrett,U.K,Sanger Institute
Fernando Rivadeneira,Netherlands,UMC Rotterdam
John C Chambers,U.K,Imperial College
David J Hunter,U.S.,University of Harvard
Robert J Klein,U.S.,Icahn School of Medicine
Daniel I Chasman,U.S.,University of Harvard
Paul M Ridker,U.S.,University of Harvard
Elizabeth K Speliotes,U.S.,University of Michigan
Kari Stefansson,Iceland,deCode Genetics
Unnur Thorsteinsdottir,Iceland,deCode Genetics
H-Erich Wichmann,Germany,Helmholtz-Muenchen
Albert Hofman,U.S.,University of Harvard
Cornelia M van Duijn,Netherlands,UMC Rotterdam
Panos Deloukas,U.K.,Queen Mary UoL
Mark I McCarthy,U.K.,University of Oxford
Nicholas G Martin,Australia,QIMR Berghofer
Grant W Montgomery,Australia,University of Queensland
Jerome I Rotter,U.S.,UCLA
Andre G Uitterlinden,Netherlands,Erasmus MC
Nicholas J Wareham,U.K,University of Cambridge
Leena Peltonen,N/A,N/A
Marjo-Riitta Jarvelin,U.K.,Imperial College
Eric Boerwinkle,U.S.,University of Texas
Tamara B Harris,U.S.,N.I.H.
Bruce M Psaty,U.S.,University of Washington
Thomas Illig,Germany,Hannover Medical School
Leena Peltonen,Finland, University of Helsinki
Vilmundur Gudnason,Iceland,I.H.A.
