Cohorts,Count
ROTTERDAM STUDY (RS),398
NO NAME,297
COOPERATIVE HEALTH RESEARCH IN THE REGION OF AUGSBURG (KORA),255
FRAMINGHAM HEART STUDY (FHS),207
ATHEROSCLEROSIS RISK IN COMMUNITIES STUDY (ARIC),204
CARDIOVASCULAR HEALTH STUDY (CHS),179
BRITISH 1958 BIRTH COHORT STUDY (B58C),156
UK ADULT TWIN REGISTER (TWINSUK),140
EUROPEAN PROSPECTIVE INVESTIGATION INTO CANCER (EPIC),132
NURSES HEALTH STUDY (NHS),129
STUDY OF HEALTH IN POMERANIA (SHIP),127
AGING GENE-ENVIRONMENT SUSCEPTIBILITY - REYKJAVIK STUDY (AGES),119
DECODE GENETICS (DECODE),113
ERASMUS RUCPHEN FAMILY STUDY (ERF),104
WELLCOME TRUST CASE CONTROL CONSORTIUM (WTCCC),103
MULTI-ETHNIC STUDY OF ATHEROSCLEROSIS (MESA),98
"HEALTH, AGING, AND BODY COMPOSITION STUDY (HEALTH ABC)",92
NORTHERN FINNISH BIRTH COHORT STUDY (NFBC),87
NETHERLANDS TWIN REGISTRY (NTR),78
ORKNEY COMPLEX DISEASE STUDY (ORCADES),78
LOTHIAN BIRTH COHORT (LBC),78
ESTONIAN GENOME CENTER OF THE UNIVERSITY OF TARTU (EGCUT),75
AVON LONGITUDINAL STUDY OF PARENTS AND CHILDREN (ALSPAC),75
COHORTE LAUSANNOISE (COLAUS),75
THE INVECCHIARE IN CHIANTI (INCHIANTI),70
WOMENS GENOME HEALTH STUDY (WGHS),69
HEALTH PROFESSIONAL FOLLOW-UP STUDY (HPFS),69
SARDINIA STUDY OF AGING (SARDINIA),68
BIOBANK JAPAN PROJECT (BBJ),68
CARDIOVASCULAR RISK IN YOUNG FINNS STUDY (YFS),67
WOMENS HEALTH INITIATIVE (WHI),63
HELSINKI BIRTH COHORT STUDY (HBCS),59
CROATIA-KORCULA STUDY (CROATIA-KORCULA),58
"PROSTATE, LUNG, COLORECTAL, AND OVARIAN CANCER SCREENING TRIAL (PLCO)",56
BALTIMORE LONGITUDINAL STUDY OF AGEING (BLSA),55
QUEENSLAND INSTITUTE OF MEDICAL RESEARCH (QIMR),54
CORONARY ARTERY RISK DEVELOPMENT IN YOUNG ADULTS (CARDIA),54
LONDON LIFE SCIENCES POPULATION STUDY (LOLIPOP),53
FINLAND-UNITED STATES INVESTIGATION OF NON-INSULIN-DEPENDENT DIABETES MELLITUS GENETICS (FUSION),49
LIFELINES (LIFELINES),49
UK BIOBANK (UKB),48
NETHERLANDS STUDY OF DEPRESSION AND ANXIETY (NESDA),47
FINRISK (FINRISK),46
CROATIA-VIS ISLAND STUDY (CROATIA-VIS),46
MULTIETHNIC COHORT STUDY OF DIET AND HEALTH (MEC),45
CROATIA-SPLIT STUDY (CROATIA-SPLIT),45
MICRO-ISOLATES IN SOUTH TYROL STUDY (MICROS),43
FAMILY HEART STUDY (FAMHS),42
GUTENBERG HEALTH STUDY (GHS),41
23ANDME (23ANDME),41
FENLAND STUDY (FENLAND),41
PRECOCIOUS CORONARY ARTERY DISEASE STUDY (PROCARDIS),40
PROSPECTIVE STUDY OF PRAVASTATIN IN THE ELDERLY AT RISK (PROSPER),40
WESTERN AUSTRALIAN PREGNANCY COHORT STUDY (RAINE),39
JACKSON HEART STUDY (JHS),39
PREVENTION OF RENAL AND VASCULAR ENDSTAGE DISEASE STUDY (PREVEND),38
THE POPULATION GENETIC COHORT (POPGEN),37
STUDY OF EPIDEMIOLOGY AND RISK FACTORS IN CANCER HEREDITY (SEARCH),37
HEALTH 2000 STUDY (HEALTH 2000),35
GERMAN MYOCARDIAL INFARCTION FAMILY STUDY (GERMIFS),34
"DIABETES GENETICS INITIATIVE OF BROAD INSTITUTE OF HARVARD AND MIT, LUND UNIVERSITY, AND NOVARTIS INSTITUTES OF BIOMEDICAL RESEARCH (DGI)",34
THE OLDER ORDER AMISH POPULATION STUDIES (AMISH),34
AUSTRIAN STROKE PREVENTION STUDY (ASPS),34
GENETIC EPIDEMIOLOGY NETWORK OF ARTERIOPATHY (GENOA),33
OSTEOPOROTIC FRACTURES IN MEN STUDY (MROS),32
SINGAPORE MALAY EYE STUDY (SIMES),32
MELBOURNE COLLABORATIVE COHORT STUDY (MCCS),32
NIJMEGEN BIOMEDICAL STUDY (NBS),32
BUSSELTON HEALTH STUDY (BHS),31
HEINZ NIXDORF RECALL STUDY (HNR),30
CHILDRENS HOSPITAL OF PHILADELPHIA (CHOP),30
LUDWIGSHAFEN RISK AND CARDIOVASCULAR HEALTH (LURIC),29
KOREAN ASSOCIATION RESOURCE PROJECT (KARE),29
PROSPECTIVE INVESTIGATION OF THE VASCULATURE IN UPPSALA SENIORS (PIVUS),29
CANCER PREVENTION STUDY (CPS),28
HEALTH AND RETIREMENT STUDY (HRS),28
GENERATION R STUDY GROUP (GENERATION R),28
UK NATIONAL BLOOD DONOR SERVICE (UKBS),28
FINNISH TWIN COHORT STUDY (FTC),27
BLUE MOUNTAIN EYE STUDY (BMES),27
SINGAPORE PROSPECTIVE STUDY PROGRAM (SP2),27
SORBS POPULATION (SORBS),26
ICELANDIC CANCER REGISTRY (ICR),26
NORTHERN SWEDEN POPULATION HEALTH STUDY (NSPHS),26
MALMO DIET AND CANCER STUDY (MDC),26
GENERATION SCOTLAND: SCOTTISH FAMILY HEALTH STUDY (GS:SFHS),25
HYPERTENSION GENETIC EPIDEMIOLOGY NETWORK (HYPERGEN),25
EPIDEMIOLOGICAL STUDY ON THE INSULIN RESISTANCE SYNDROME STUDY (DESIR),25
SINGAPORE CHINESE EYES STUDY (SCES),24
UPPSALA LONGITUDINAL STUDY OF ADULT MEN (ULSAM),24
HUNTER COMMUNITY STUDY (HCS),24
METABOLIC SYNDROME IN MEN (METSIM),24
RELIGIOUS ORDERS STUDY AND RUSH MEMORY AND AGING PROJECT (ROSMAP),24
GENETIC ASSOCIATION INFORMATION NETWORK (GAIN),24
GOTHENBURG OSTEOPOROSIS AND OBESITY DETERMINANTS STUDY (GOOD),24
THE MAYO CLINIC STUDY (MAYO),23
GENETIC STUDY OF ASPIRIN RESPONSIVENESS (GENESTAR),23
BRITISH GENETICS OF HYPERTENSION STUDY (BRIGHT),23
HEALTHY AGING IN NEIGHBORHOODS OF DIVERSITY ACROSS THE LIFE SPAN STUDY (HANDLS),23
CANCER PROSTATE IN SWEDEN (CAPS),22
SINGAPORE INDIAN EYE STUDY (SINDI),22
ITALIAN NETWORK ON GENETIC ISOLATES-FRIULI-VENEZIA GIULIA (INGI-FVG),22
COLON CANCER FAMILY REGISTRY (CCFR),21
MYOCARDIAL INFARCTION GENETICS CONSORTIUM (MIGEN),21
SWEDISH TWIN REGISTRY (STR),21
HISPANIC COMMUNITY HEALTH STUDY (HCHS),21
"ALPHA-TOCOPHEROL, BETA-CAROTENE CANCER PREVENTION STUDY (ATBC)",21
TWINGENE STUDY (TWINGENE),21
"ASIAN CONSORTIUM, COLORECTAL CANCER AICHI (AICHI)",21
KOREAN GENOME EPIDEMIOLOGY STUDY (KOGES),20
