Cohorts,Count
Rotterdam Study (RS),373
NO NAME,278
Atherosclerosis Risk in Communities Study (ARIC),187
Framingham Heart Study (FHS),183
Cardiovascular Health Study (CHS),163
British 1958 Birth Cohort Study (B58C),144
Study of Health in Pomerania (SHIP),120
UK Adult Twin Register (TwinsUK),120
Nurses Health Study (NHS),112
Aging Gene-Environment Susceptibility - Reykjavik Study (AGES),110
European Prospective Investigation into Cancer (EPIC),108
Wellcome Trust Case Control Consortium (WTCCC),103
deCODE Genetics (deCODE),101
Erasmus Rucphen Family Study (ERF),94
Northern Finnish Birth Cohort Study (NFBC),83
Cooperative Health Research in the Region of Augsburg (KORA),81
"Health, Aging, and Body Composition Study (Health ABC)",81
Multi-Ethnic Study of Atherosclerosis (MESA),79
Netherlands Twin Registry (NTR),74
Lothian Birth Cohort (LBC),72
Orkney Complex Disease Study (ORCADES),71
Estonian Genome Center of the University of Tartu (EGCUT),70
Cohorte Lausannoise (CoLaus),69
SardiNIA Study of Aging (SardiNIA),66
The Invecchiare in Chianti (InCHIANTI),66
Health Professional Follow-up Study (HPFS),65
Womens Genome Health Study (WGHS),63
Avon Longitudinal Study of Parents and Children (ALSPAC),62
Cardiovascular Risk in Young Finns Study (YFS),62
BioBank Japan Project (BBJ),61
Helsinki Birth Cohort Study (HBCS),54
Baltimore Longitudinal Study of Ageing (BLSA),53
CROATIA-Korcula Study (CROATIA-KORCULA),53
Womens Health Initiative (WHI),53
Cooperative Health Research in the Region of Augsburg F3 (KORA F3),52
"Prostate, Lung, Colorectal, and Ovarian Cancer Screening Trial (PLCO)",51
Queensland Institute of Medical Research (QIMR),50
Coronary Artery Risk Development in Young Adults (CARDIA),48
London Life Sciences Population Study (LOLIPOP),47
Cooperative Health Research in the Region of Augsburg F4 (KORA F4),45
Netherlands Study of Depression and Anxiety (NESDA),43
LifeLines (LifeLines),43
CROATIA-Split Study (CROATIA-SPLIT),42
Micro-isolates in South Tyrol Study (MICROS),41
CROATIA-Vis Island Study (CROATIA-VIS),40
Multiethnic Cohort Study of Diet and Health (MEC),40
Family Heart Study (FamHS),39
Prospective Study of Pravastatin in the Elderly at Risk (PROSPER),37
Precocious Coronary Artery Disease Study (PROCARDIS),37
The Population Genetic Cohort (POPGEN),36
Fenland study (Fenland),36
Prevention of Renal and Vascular Endstage Disease study (PREVEND),36
Study of Epidemiology and Risk Factors in Cancer Heredity (SEARCH),35
FINRISK (FINRISK),35
Finland-United States Investigation of Non-Insulin-Dependent Diabetes Mellitus Genetics (FUSION),35
Western Australian Pregnancy Cohort Study (RAINE),34
Health 2000 Study (Health 2000),34
Cooperative Health Research in the Region of Augsburg S4 (KORA S4),34
"Diabetes Genetics Initiative of Broad Institute of Harvard and MIT, Lund University, and Novartis Institutes of BioMedical Research (DGI)",33
German Myocardial Infarction Family Study (GerMIFS),33
Jackson Heart Study (JHS),33
The older order AMISH population studies (AMISH),33
Austrian Stroke Prevention Study (ASPS),33
Melbourne Collaborative Cohort Study (MCCS),31
Nijmegen Biomedical Study (NBS),30
Singapore Malay Eye Study (SIMES),29
Genetic Epidemiology Network of Arteriopathy (GENOA),29
Busselton Health Study (BHS),29
23andMe (23andMe),28
Cancer Prevention Study (CPS),27
Finnish Twin Cohort Study (FTC),27
Singapore Prospective Study Program (SP2),26
Childrens Hospital of Philadelphia (CHOP),26
Blue Mountain Eye Study (BMES),26
Icelandic Cancer Registry (ICR),26
UK National Blood Donor Service (UKBS),26
Sorbs population (SORBS),25
Heinz Nixdorf Recall Study (HNR),25
Northern Sweden Population Health Study (NSPHS),25
Cooperative Health Research in the Region of Augsburg S3 (KORA S3),24
Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS),24
Epidemiological Study on the Insulin Resistance syndrome study (DESIR),24
Ludwigshafen Risk and Cardiovascular Health (LURIC),24
