,Papers,citedByCount,GWAS-H,Betweenness,Degree,Country,Institution,CitePercentile
Kari Stefansson,177,27568,84,0.02,0.308,Iceland,deCode Genetics,1.0
Unnur Thorsteinsdottir,142,23633,77,0.006,0.241,Iceland,deCode Genetics,0.9999
Albert Hofman,267,25534,76,0.013,0.345,U.S.,University of Harvard,0.9999
Andre G Uitterlinden,280,23337,76,0.018,0.367,Netherlands,Erasmus MC,0.9998
Cornelia M van Duijn,188,20879,71,0.008,0.294,Netherlands,UMC Rotterdam,0.9997
Gudmar Thorleifsson,119,20408,70,0.006,0.232,Iceland,deCode Genetics,0.9995
Christian Gieger,166,22562,70,0.011,0.272,Germany,Helmholtz-Muenchen,0.9997
Panos Deloukas,109,20323,68,0.009,0.233,U.K.,Queen Mary UoL,0.9995
H-Erich Wichmann,112,20266,68,0.007,0.22,Germany,Helmholtz-Muenchen,0.9994
Fernando Rivadeneira,198,17976,65,0.009,0.282,Netherlands,UMC Rotterdam,0.9992
Mark I McCarthy,99,20681,62,0.003,0.188,U.K.,University of Oxford,0.9996
Marjo-Riitta Jarvelin,101,17331,61,0.002,0.202,U.K.,Imperial College,0.999
Eric Boerwinkle,147,17359,60,0.004,0.227,U.S.,University of Texas,0.9991
Jerome I Rotter,188,17828,59,0.011,0.282,U.S.,UCLA,0.9991
Vilmundur Gudnason,128,15375,59,0.003,0.258,Iceland,I.H.A.,0.9983
Tamara B Harris,133,15000,59,0.003,0.238,U.S.,N.I.H.,0.998
Nicholas G Martin,164,13570,58,0.01,0.26,Australia,QIMR Berghofer,0.9973
Bruce M Psaty,168,12966,58,0.005,0.262,U.S.,University of Washington,0.9965
Leena Peltonen,73,16588,57,0.002,0.15,,,0.9988
Leena Peltonen,73,16588,57,0.002,0.15,Finland,Â University of Helsinki,0.9988
Thomas Illig,87,15932,57,0.002,0.169,Germany,Hannover Medical School,0.9985
Nicholas J Wareham,93,18116,56,0.002,0.208,U.K,University of Cambridge,0.9993
Grant W Montgomery,156,13727,56,0.009,0.257,Australia,University of Queensland,0.9975
Goncalo R Abecasis,83,19255,55,0.002,0.165,,,0.9993
Ruth J F Loos,92,16525,55,0.002,0.205,,,0.9987
James F Wilson,117,15448,55,0.003,0.236,,,0.9983
Harry Campbell,118,15776,54,0.003,0.227,,,0.9984
Nilesh J Samani,75,14509,53,0.002,0.178,U.K,University of Leicester,0.9979
Nicole Soranzo,89,13775,53,0.002,0.165,,,0.9975
Veikko Salomaa,89,16831,53,0.002,0.204,,,0.9989
Thomas Meitinger,101,14348,53,0.005,0.194,,,0.9977
Augustine Kong,68,13347,52,0.001,0.116,,,0.997
David J Hunter,107,15145,52,0.008,0.232,U.S.,University of Harvard,0.9981
Caroline Hayward,131,13459,52,0.003,0.243,,,0.9971
Luigi Ferrucci,119,13283,52,0.006,0.229,,,0.9969
Igor Rudan,109,14035,52,0.002,0.219,,,0.9977
Stephen J Chanock,121,13088,51,0.01,0.224,,,0.9968
Lenore J Launer,94,10675,50,0.002,0.218,,,0.9948
Peter Kraft,118,12491,49,0.012,0.234,,,0.9963
Ben A Oostra,79,9971,49,0.002,0.178,,,0.9936
Albert V Smith,94,8921,49,0.002,0.215,,,0.9919
Tim D Spector,104,10414,49,0.003,0.189,,,0.9944
Inga Prokopenko,67,13491,48,0.001,0.166,,,0.9972
David Schlessinger,69,13601,48,0.001,0.159,,,0.9974
Dorret I Boomsma,105,11441,47,0.003,0.222,,,0.9957
Daniel I Chasman,99,11551,47,0.003,0.213,U.S.,University of Harvard,0.9958
Stefan Schreiber,79,11997,47,0.006,0.142,,,0.9961
Andres Metspalu,87,10597,47,0.004,0.22,,,0.9946
Peter Vollenweider,82,11144,47,0.001,0.181,,,0.9953
Serena Sanna,71,13706,47,0.001,0.157,,,0.9974
Ines Barroso,57,16395,46,0.001,0.161,,,0.9987
Henry Volzke,95,9178,46,0.003,0.215,,,0.9921
Toshiko Tanaka,101,10992,46,0.002,0.191,,,0.9951
Massimo Mangino,79,13794,46,0.001,0.171,,,0.9976
Paul M Ridker,92,11059,46,0.002,0.204,U.S.,University of Harvard,0.9952
Philippe Froguel,62,11208,46,0.002,0.163,,,0.9954
David P Strachan,75,12432,46,0.002,0.171,,,0.9962
Najaf Amin,91,9911,45,0.003,0.236,,,0.9933
Karen L Mohlke,64,16137,44,0.001,0.155,,,0.9986
Yusuke Nakamura,115,6072,44,0.007,0.098,,,0.9839
Alan R Shuldiner,69,11576,44,0.001,0.157,,,0.9959
L Adrienne Cupples,87,10801,44,0.002,0.184,,,0.9949
Michael Boehnke,59,15956,44,0.001,0.152,,,0.9985
Hakon Hakonarson,90,8483,44,0.013,0.147,,,0.991
Paul Elliott,58,11827,44,0.001,0.156,,,0.996
Tonu Esko,83,10108,44,0.002,0.204,,,0.9938
Jing Hua Zhao,68,12812,44,0.001,0.195,,,0.9964
Christopher J O'Donnell,75,10258,44,0.001,0.15,,,0.9942
Sekar Kathiresan,59,13057,43,0.002,0.149,U.S.,University of Harvard,0.9967
Alan F Wright,82,11072,43,0.001,0.19,,,0.9952
Caroline S Fox,68,10150,43,0.0,0.132,,,0.994
Michiaki Kubo,169,7026,43,0.019,0.179,,,0.9873
Joshua C Bis,90,8494,43,0.002,0.198,,,0.9911
Patrick Sulem,63,7230,42,0.001,0.095,,,0.9879
Terho Lehtimaki,103,9028,42,0.002,0.221,,,0.9921
Manuela Uda,49,11869,42,0.0,0.108,,,0.996
Lambertus A Kiemeney,67,9026,42,0.004,0.155,,,0.992
George Davey Smith,82,8729,41,0.002,0.155,,,0.9916
Gonneke Willemsen,77,10602,41,0.001,0.186,,,0.9946
Markus Perola,67,11431,41,0.001,0.169,,,0.9956
Alexander Teumer,98,8152,41,0.003,0.222,,,0.9903
Ozren Polasek,90,8287,41,0.001,0.204,,,0.9907
Jian'an Luan,64,12042,41,0.001,0.175,,,0.9962
Mark Lathrop,74,9500,41,0.007,0.147,,,0.9928
Veronique Vitart,84,9970,41,0.001,0.182,,,0.9935
Yongmei Liu,95,6616,41,0.002,0.196,,,0.986
Wei Zheng,80,5920,40,0.007,0.199,,,0.9834
Joel N Hirschhorn,54,10044,40,0.001,0.144,,,0.9936
Daniel F Gudbjartsson,57,6452,40,0.001,0.089,,,0.9852
Mark J Daly,50,13030,40,0.005,0.115,,,0.9966
Anne U Jackson,51,14370,40,0.0,0.145,,,0.9978
Wendy L McArdle,50,9515,40,0.001,0.141,,,0.9929
Francis S Collins,46,15326,40,0.0,0.134,,,0.9982
Cisca Wijmenga,56,8457,39,0.005,0.138,,,0.9909
Kay-Tee Khaw,62,10660,39,0.005,0.214,,,0.9947
Timothy M Frayling,60,13386,39,0.001,0.138,U.K,University of Exeter,0.997
Atsushi Takahashi,117,5443,39,0.01,0.134,,,0.9811
Gerard Waeber,59,9920,39,0.001,0.141,,,0.9934
Stefania Bandinelli,69,8004,39,0.001,0.154,,,0.99
David M Evans,81,5729,39,0.002,0.155,,,0.9824
Anna-Liisa Hartikainen,44,8842,39,0.0,0.136,,,0.9919
Jouke-Jan Hottenga,66,8555,39,0.001,0.183,,,0.9912
Jeanette Erdmann,51,9918,38,0.001,0.131,,,0.9934
Benjamin F Voight,40,14683,38,0.0,0.113,,,0.9979
Jaakko Tuomilehto,49,15134,38,0.001,0.142,,,0.9981
Nicholas J Timpson,73,9337,38,0.001,0.136,,,0.9924
Timothy D Spector,59,7310,38,0.001,0.15,,,0.9884
