,European,African Am./Caribbean,Asian,Hispanic/Latin American,In Part Not Recorded,Other/Mixed,African
NHLBI NIH HHS,29486,9887,7039,5154,2127,780,881
NCI NIH HHS,9365,1845,2750,720,831,806,391
NIA NIH HHS,8124,1911,1387,545,1838,711,134
MRC,10044,1237,2757,540,1017,321,513
NIDDK NIH HHS,7371,1663,2103,1159,417,285,256
NIMH NIH HHS,4394,635,461,328,617,453,59
Wellcome Trust,4659,385,1365,180,351,168,219
NHGRI NIH HHS,3723,1000,691,359,331,199,237
NCRR NIH HHS,2879,773,438,468,353,229,100
NIAID NIH HHS,2497,1487,47,1674,859,312,300
